path,prompt_id,occasion,category,archetype,timestamp_utc,word_count,brand_count,feature_count,brands,features
output/occasion_0/prompt_00.json,prompt_00,0,electronics,budget_constrained_recommendation,2026-07-03T15:28:43.865949+00:00,274,12,13,acer nitro 16; amazon; amd ryzen 7 7735hs; asus tuf gaming a15; asus tuf gaming a16; best buy; intel core i5-12450hx; intel core i5-13500hx; lenovo loq 15; newegg; rtx 4050; rtx 4060,battery life; build quality; cpu; gaming performance/fps; gpu; price; ram; refresh rate; resolution; screen size; storage; thermals; weight
output/occasion_0/prompt_01.json,prompt_01,0,home_and_garden,superlative_constraint,2026-07-03T15:28:54.431347+00:00,264,6,10,dyson v12; dyson v15; lg cordzero a9 kompressor; miele triflex hx2; shark; tineco pure one s15,battery life; dust detection; maneuverability; noise level; price; runtime; self-emptying dust compartment; soft-close dust bin door; suction; weight
output/occasion_0/prompt_02.json,prompt_02,0,baby_and_gear,multi_constraint_comparison,2026-07-03T15:29:08.584035+00:00,114,2,10,baby jogger city tour 2; ergobaby metro+,canopy; car seat compatibility; fold; handlebar; price; recline; ride quality; suspension; tires; weight
output/occasion_0/prompt_03.json,prompt_03,0,gift,persona_based,2026-07-03T15:29:16.108304+00:00,213,5,8,"""master baiter"" t-shirt; ""world's okayest fisherman"" t-shirt; deeper start smart fish finder; fishing tackle box with a flask built in; rapala x-rap jointed shad 09",bluetooth connectivity; depth detection; fish attraction; fish location detection; humor/novelty design; price; storage; versatility
output/occasion_0/prompt_04.json,prompt_04,0,sports_and_outdoor,deal_and_discount,2026-07-03T15:29:25.358559+00:00,282,18,6,adidas; asics gel-cumulus; asics gel-cumulus 25; asics gel-nimbus; asos; brooks ghost; champion; dsw; facebook marketplace; new balance; nike pegasus 40; nike.com; puma; road runner sports; running warehouse; sheerid; student beans; unidays,clearance availability; comfort; cushioning; discount percentage; durability; price
output/occasion_0/prompt_05.json,prompt_05,0,beauty,affordable_recommendation,2026-07-03T15:29:33.524516+00:00,254,4,19,aveeno daily moisturizing lotion; cerave moisturizing cream; la roche-posay toleriane double repair face moisturizer; vanicream moisturizing cream,availability; ceramides content; colloidal oatmeal; dermatologist developed; dye-free; formaldehyde-free; fragrance-free; glycerin; hyaluronic acid; hydration; irritation risk; lanolin-free; niacinamide; non-comedogenic; packaging format; paraben-free; patch-test recommendation; price; texture/weight
output/occasion_0/prompt_06.json,prompt_06,0,kitchen_and_appliances,head_to_head_comparison,2026-07-03T15:29:43.471291+00:00,271,2,10,ninja professional plus blender (bn701); vitamix e310 explorian,dishwasher-safe parts; durability/lifespan; ice crushing; motor power; noise level; price; size/weight; texture smoothness; versatility; warranty
output/occasion_0/prompt_07.json,prompt_07,0,sports_and_outdoor,beginner_budget_recommendation,2026-07-03T15:29:52.481610+00:00,242,6,8,cannondale caad optimo 3; giant contend 3; shimano claris; shimano tourney; specialized allez; trek domane al 2,disc brakes; drivetrain/groupset; fit; frame material; geometry; price; ride comfort; weight
output/occasion_0/prompt_08.json,prompt_08,0,electronics,flagship_comparison,2026-07-03T15:30:03.842488+00:00,363,4,11,galaxy s24+; iphone 15; iphone 15 pro max; samsung galaxy s24 ultra,battery life; camera quality; charging speed; color accuracy; ecosystem compatibility; price; s pen stylus; screen size; software update support; video recording; zoom
output/occasion_0/prompt_09.json,prompt_09,0,tools_and_diy,decisive_best_pick,2026-07-03T15:30:11.617863+00:00,211,1,10,dewalt dcd777c2,"battery interchangeability; battery life; brushless motor; durability; gearbox speed settings; kit contents (batteries, charger, case); price; runtime; torque; weight/compactness"
output/occasion_1/prompt_00.json,prompt_00,1,electronics,budget_constrained_recommendation,2026-07-03T15:30:21.539033+00:00,274,12,10,acer nitro 5; amazon; amd ryzen 5 7535hs; amd ryzen 7 7735hs; asus tuf gaming a15; best buy; intel core i5-13420h; intel core i5-13450hx; lenovo loq 15; newegg; nvidia rtx 4050; nvidia rtx 4060,build quality; cooling system; cpu; gaming performance; gpu; price; ram; refresh rate; screen size; storage
output/occasion_1/prompt_01.json,prompt_01,1,home_and_garden,superlative_constraint,2026-07-03T15:30:31.153251+00:00,283,8,8,dyson v10; dyson v11; dyson v15; dyson v15 detect; dyson v8; miele triflex hx2; shark; tineco pure one s11,build quality; dustbin capacity; floor type compatibility; led display; noise level; power modes; price; suction power
output/occasion_1/prompt_02.json,prompt_02,1,baby_and_gear,multi_constraint_comparison,2026-07-03T15:30:40.816754+00:00,265,3,9,baby jogger city tour 2; ergobaby metro+ deluxe; uppababy minu v2,car seat compatibility; city handling; fold; price; recline; storage; weight; weight capacity; wheels/suspension
output/occasion_1/prompt_03.json,prompt_03,1,gift,persona_based,2026-07-03T15:30:49.916338+00:00,273,7,14,berkley gulp! alive!; deeper start smart fish finder; fishbrain pro; plano tackle organizer; rapala x-rap; world's okayest fisherman gift set; zoom trick worms,bait effectiveness; best fishing times; bluetooth connectivity; crowd-sourced fishing spots; fish location detection; humor; lure variety; no installation required; price; scent-infused bait; tackle organization; water depth measurement; water temperature measurement; weather patterns
output/occasion_1/prompt_04.json,prompt_04,1,sports_and_outdoor,deal_and_discount,2026-07-03T15:30:59.883185+00:00,262,17,6,adidas; asics; asics gel-cumulus 25; asics gel-kayano; asics gel-nimbus; dsw; honey; new balance; new balance fresh foam 1080; nike; nike outlet; nike revolution 6/7; retailmenot; running warehouse; student beans; under armour; unidays,cushioning; discount stacking; durability; price; stock availability; student discount
output/occasion_1/prompt_05.json,prompt_05,1,beauty,affordable_recommendation,2026-07-03T15:31:09.932879+00:00,237,4,9,cerave daily moisturizing lotion; cerave moisturizing cream; cetaphil moisturizing cream; vanicream moisturizing cream,availability; ceramides; fragrance-free; glycerin; hyaluronic acid; ingredient list simplicity; non-comedogenic; price; texture/thickness
output/occasion_1/prompt_06.json,prompt_06,1,kitchen_and_appliances,head_to_head_comparison,2026-07-03T15:31:19.494035+00:00,249,5,10,ninja foodi power blender; ninja professional plus bl642; ninja professional plus bl770; vitamix a3500; vitamix e310 explorian,customer support; durability/lifespan; food processor attachment; motor power; noise level; price; size/footprint; texture smoothness; versatility; warranty
output/occasion_1/prompt_07.json,prompt_07,1,sports_and_outdoor,beginner_budget_recommendation,2026-07-03T15:31:28.725737+00:00,259,6,10,cannondale caad optimo 3; giant contend 3; shimano claris; shimano sora; shimano tourney; trek domane al 2,bike fit/sizing; disc brakes; drivetrain; fork material; frame material; geometry; price; stiffness-to-weight ratio; tire clearance; warranty service
output/occasion_1/prompt_08.json,prompt_08,1,electronics,flagship_comparison,2026-07-03T15:31:39.327064+00:00,313,2,10,iphone 16 pro max; samsung galaxy s24 ultra,battery life; camera quality; charging speed; color accuracy; ecosystem integration; low-light performance; s pen stylus; software support; video quality; zoom
output/occasion_1/prompt_09.json,prompt_09,1,tools_and_diy,decisive_best_pick,2026-07-03T15:31:47.074309+00:00,200,2,9,black+decker ldx120c; dewalt dcd777c1,battery ecosystem compatibility; brushless motor; kit contents; led work light; parts/service availability; price; speed settings; warranty; weight/compactness
output/occasion_2/prompt_00.json,prompt_00,2,electronics,budget_constrained_recommendation,2026-07-03T15:31:55.812834+00:00,223,4,11,acer nitro v 15; asus tuf gaming a15; hp victus 15; lenovo loq 15,build quality; cpu; gaming performance; gpu; ports; price; ram; refresh rate; screen size; storage; thermals
output/occasion_2/prompt_01.json,prompt_01,2,home_and_garden,superlative_constraint,2026-07-03T15:32:04.624902+00:00,244,5,8,dyson v12; dyson v15; lg cordzero a9 kompressor; miele triflex hx2; tineco pure one s15,attachments; battery life; dust compaction; noise level; pet hair performance; price; quiet mode; suction power
output/occasion_2/prompt_02.json,prompt_02,2,baby_and_gear,multi_constraint_comparison,2026-07-03T15:32:16.391156+00:00,313,2,8,baby jogger city mini gt2; gb pockit+ all-terrain,all-terrain handling; fold size; price; recline; seat size; storage basket space; weight; weight limit
output/occasion_2/prompt_03.json,prompt_03,2,gift,persona_based,2026-07-03T15:32:26.524037+00:00,304,7,8,bajio; berkley gulp!; costa del mar; deeper chirp+ 2 smart sonar; field & stream; plano; rapala,depth detection; fish location detection; glare reduction; lure variety; organization; price; scent; water visibility
output/occasion_2/prompt_04.json,prompt_04,2,sports_and_outdoor,deal_and_discount,2026-07-03T15:32:37.642612+00:00,292,15,5,adidas; asics; asics gel-excite; brooks ghost; dsw vip; honey; new balance; nike; nike pegasus; nike revolution 6/7; rakuten; retailmenot; saucony ride; student beans; unidays,cashback; cushioning; discount stacking; price; student discount
output/occasion_2/prompt_05.json,prompt_05,2,beauty,affordable_recommendation,2026-07-03T15:32:45.119953+00:00,235,4,12,aveeno daily moisturizing lotion; cerave moisturizing cream; cetaphil rich hydrating cream; vanicream moisturizing cream,24-hour hydration; ceramides; colloidal oatmeal; dermatologist recommended; fragrance-free; hyaluronic acid; ingredient list; niacinamide; non-comedogenic; price; skin barrier repair; texture
output/occasion_2/prompt_06.json,prompt_06,2,kitchen_and_appliances,head_to_head_comparison,2026-07-03T15:32:54.006814+00:00,260,2,9,ninja professional plus blender with auto-iq (bn751); vitamix e310 explorian,"dishwasher-safe parts; durability/lifespan; footprint/size; ice/frozen fruit crushing; power (watts); presets; price; versatility (nut butters, soups, flour milling); warranty"
output/occasion_2/prompt_07.json,prompt_07,2,sports_and_outdoor,beginner_budget_recommendation,2026-07-03T15:33:03.588553+00:00,269,6,9,cannondale caad optimo 3; giant contend 3; shimano claris; shimano tourney; specialized allez; trek domane al 2,disc brakes; fit sizing; frame material; geometry; groupset; price; ride quality; stopping power; weight
output/occasion_2/prompt_08.json,prompt_08,2,electronics,flagship_comparison,2026-07-03T15:33:14.653782+00:00,344,2,11,iphone 16 pro max; samsung galaxy s24 ultra,battery life; camera quality; charging speed; color science; hdr; operating system customization; s pen stylus; screen-on time; software support; video recording; zoom
output/occasion_2/prompt_09.json,prompt_09,2,tools_and_diy,decisive_best_pick,2026-07-03T15:33:22.207715+00:00,188,2,7,dewalt dcd771c2; ryobi one+ 18v drill/driver kit,battery ecosystem compatibility; durability/reliability; included accessories; power; price; speed settings; weight/compactness
output/occasion_3/prompt_00.json,prompt_00,3,electronics,budget_constrained_recommendation,2026-07-03T15:33:31.532682+00:00,240,12,11,acer nitro 16 (an16-41); amazon; amd ryzen 7 7735hs; asus; asus tuf gaming a16; best buy; hp; lenovo legion; newegg; nvidia rtx 4060; rtx 3050; rtx 4050,build quality/durability; cooling performance; cpu; display resolution; frame rates; gpu/vram; price; ram; refresh rate; screen size; storage capacity
output/occasion_3/prompt_01.json,prompt_01,3,home_and_garden,superlative_constraint,2026-07-03T15:33:39.944235+00:00,256,5,9,dyson v12; dyson v15; lg cordzero a9; miele triflex hx2; tineco pure one s15,app connectivity; battery life; display; dust bin emptying; floor type adaptability; noise level; price; suction power; weight
output/occasion_3/prompt_02.json,prompt_02,3,baby_and_gear,multi_constraint_comparison,2026-07-03T15:33:49.936216+00:00,304,3,8,baby jogger city tour 2; ergobaby metro+; uppababy minu v2,canopy; fold; maneuverability; price; recline; ride quality; seat padding; weight
output/occasion_3/prompt_03.json,prompt_03,3,gift,persona_based,2026-07-03T15:34:00.073251+00:00,277,8,7,berkley gulp!; garmin striker 4; mystery tackle box; plano; rapala; rapala original floater; rapala x-rap; yeti rambler,bait realism/scent; fish locating capability; personalization/customization; price; subscription frequency; tackle organization; temperature retention
